TABLE_NAME	COLUMN_NAME
LOCATION	TOWNSHIP_TXT
LOCATION	LONGITUDE_CD
LOCATION	LATITUDE_CD
LOCATION	GEO_RESOLUTION_CD
LOCATION	PLACE_HASH_TXT
LOCATION	CREATE_TS
LOCATION	UPDATE_TS
PERIL	PERIL_ID
PERIL	PERIL_CD
PERIL	PERIL_DESC
PERIL	SOURCE_SYSTEM_ID
PERIL	CREATE_TS
PERIL	UPDATE_TS
POLICY	POLICY_ID
POLICY	CUSTOMER_ID
POLICY	POLICY_NUMBER_CD
POLICY	BUSINESS_UNIT_CD
POLICY	BUSINESS_UNIT_DESC
POLICY	ORIGINAL_EFFECTIVE_DT
POLICY	ORIGINAL_PRIMARY_INSURED_NM
POLICY	SOURCE_SYSTEM_ID
POLICY	CREATE_TS
POLICY	UPDATE_TS
POLICY_TERM	POLICY_TERM_ID
POLICY_TERM	POLICY_ID
POLICY_TERM	PRODUCER_PROFIT_CENTER_BU_ID
POLICY_TERM	COMPANY_ID
POLICY_TERM	BUSINESS_UNIT_CD
POLICY_TERM	BUSINESS_UNIT_DESC
POLICY_TERM	POLICY_SYMBOL_CD
POLICY_TERM	POLICY_SYMBOL_DESC
POLICY_TERM	POLICY_NUMBER_CD
POLICY_TERM	POLICY_MODULE_CD
POLICY_TERM	POLICY_TERM_EFFECTIVE_DT
POLICY_TERM	POLICY_TERM_EXPIRATION_DT
POLICY_TERM	CANCELLATION_EFFECTIVE_DT
POLICY_TERM	CURRENT_VERSION_NO
POLICY_TERM	POLICY_STATUS_CD
POLICY_TERM	POLICY_STATUS_DESC
POLICY_TERM	RENEWAL_STATUS_CD
POLICY_TERM	RENEWAL_STATUS_DESC
POLICY_TERM	PRIMARY_INSURED_NM
POLICY_TERM	PRIMARY_INSURED_ADDRESS_1_TXT
POLICY_TERM	PRIMARY_INSURED_ADDRESS_2_TXT
POLICY_TERM	PRIMARY_INSURED_CITY_NM
POLICY_TERM	PRIMARY_INSURED_STATE_CD
POLICY_TERM	PRIMARY_INSURED_STATE_NM
POLICY_TERM	PRIMARY_INSURED_POSTAL_CD
POLICY_TERM	UNDERWRITER_NM
POLICY_TERM	NAICS_CD
POLICY_TERM	NAICS_DESC
POLICY_TERM	SIC_CD
POLICY_TERM	SIC_DESC
POLICY_TERM	POLICY_STATE_CD
POLICY_TERM	POLICY_STATE_NM
POLICY_TERM	POLICY_ENTRY_SYSTEM_CD
POLICY_TERM	POLICY_ENTRY_SYSTEM_DESC
POLICY_TERM	REINS_IND
POLICY_TERM	FAC_REINS_IND
POLICY_TERM	NBCR_IND
POLICY_TERM	EARTHQUAKE_IND
POLICY_TERM	HURRICANE_IND
POLICY_TERM	WIND_HAIL_IND
POLICY_TERM	FIRE_IND
POLICY_TERM	TERRORISM_IND
POLICY_TERM	FLOOD_IND
POLICY_TERM	SOURCE_SYSTEM_ID
POLICY_TERM	CREATE_TS
POLICY_TERM	UPDATE_TS
POLICY_TERM	POLICY_HASH_TXT
POLICY_TERM	EQSL_IND
POLICY_TERM	ORDLAW_IND
POLICY_TERM	FIRE_FOLLOW_IND
PRODUCER_PROFIT_CENTER_BU	PRODUCER_PROFIT_CENTER_BU_ID
PRODUCER_PROFIT_CENTER_BU	PRODUCER_CD
PRODUCER_PROFIT_CENTER_BU	PRODUCER_DESC
PRODUCER_PROFIT_CENTER_BU	PROFIT_CENTER_CD
PRODUCER_PROFIT_CENTER_BU	PROFIT_CENTER_DESC
PRODUCER_PROFIT_CENTER_BU	FIELD_CD
PRODUCER_PROFIT_CENTER_BU	FIELD_DESC
PRODUCER_PROFIT_CENTER_BU	TERRITORY_CD
PRODUCER_PROFIT_CENTER_BU	TERRITORY_DESC
PRODUCER_PROFIT_CENTER_BU	BUSINESS_UNIT_CD
PRODUCER_PROFIT_CENTER_BU	BUSINESS_UNIT_DESC
PRODUCER_PROFIT_CENTER_BU	PRODUCER_ADDRESS_1_TXT
PRODUCER_PROFIT_CENTER_BU	PRODUCER_ADDRESS_2_TXT
PRODUCER_PROFIT_CENTER_BU	PRODUCER_CITY_NM
PRODUCER_PROFIT_CENTER_BU	PRODUCER_STATE_CD
PRODUCER_PROFIT_CENTER_BU	PRODUCER_STATE_NM
PRODUCER_PROFIT_CENTER_BU	PRODUCER_POSTAL_CD
